SERIALNO,ST,PUMA,WGTP,Sm_Lo,Sm_Md,Sm_Hi,Lg_Lo,Lg_Md,Lg_Hi,Mil_Sm,Mil_Lg,ColDorm,Pers,IncK,Weight,hh
2014000038880,6,7301,15,0,1,0,0,0,0,0,0,0,1,84,15,1
2014000039004,6,7313,62,0,0,0,0,1,0,0,0,0,3,32,62,1
2014000039204,6,7313,48,0,1,0,0,0,0,0,0,0,2,33,48,1
2014000039404,6,7319,31,0,0,0,0,1,0,0,0,0,5,124,31,1
2014000039450,6,7306,13,1,0,0,0,0,0,0,0,0,1,9,13,1
2014000039468,6,7316,12,0,0,1,0,0,0,0,0,0,2,216,12,1
2014000039529,6,7318,13,0,1,0,0,0,0,0,0,0,2,74,13,1
2014000039556,6,7309,24,0,1,0,0,0,0,0,0,0,1,51,24,1
2014000039585,6,7315,73,1,0,0,0,0,0,0,0,0,1,24,73,1
2014000039802,6,7307,7,0,0,0,0,1,0,0,0,0,3,121,7,1
2014000040067,6,7322,36,0,0,0,0,0,1,0,0,0,3,166,36,1
2014000040172,6,7310,64,0,0,1,0,0,0,0,0,0,1,182,64,1
2014000040349,6,7303,23,0,0,0,0,1,0,0,0,0,5,46,23,1
2014000040414,6,7317,36,0,0,0,0,1,0,0,0,0,3,28,36,1
2014000040438,6,7320,13,0,0,0,0,1,0,0,0,0,3,67,13,1
2014000040506,6,7315,0,0,0,0,0,0,0,0,0,1,1,0,20,1
2014000040603,6,7310,22,0,1,0,0,0,0,0,0,0,1,43,22,1
2014000040668,6,7313,13,0,1,0,0,0,0,0,0,0,1,134,13,1
2014000040719,6,7321,26,0,0,0,0,1,0,0,0,0,4,60,26,1
2014000040853,6,7310,19,0,1,0,0,0,0,0,0,0,1,69,19,1
2014000040884,6,7311,13,0,1,0,0,0,0,0,0,0,2,140,13,1
2014000040934,6,7319,42,0,1,0,0,0,0,0,0,0,2,31,42,1
2014000040989,6,7310,9,0,0,0,0,1,0,0,0,0,3,96,9,1
2014000041001,6,7309,13,1,0,0,0,0,0,0,0,0,1,21,13,1
2014000041084,6,7304,45,0,1,0,0,0,0,0,0,0,2,134,45,1
2014000041130,6,7321,19,0,0,0,0,1,0,0,0,0,3,31,19,1
2014000041267,6,7311,13,0,1,0,0,0,0,0,0,0,2,133,13,1
2014000041390,6,7316,20,1,0,0,0,0,0,0,0,0,1,1,20,1
2014000041558,6,7301,0,0,0,0,0,0,0,1,0,0,1,0,20,1
2014000041632,6,7314,12,0,0,1,0,0,0,0,0,0,1,866,12,1
2014000041671,6,7313,12,0,1,0,0,0,0,0,0,0,2,53,12,1
2014000041727,6,7308,14,0,0,0,0,0,1,0,0,0,3,187,14,1
2014000041737,6,7321,14,0,0,0,0,1,0,0,0,0,5,121,14,1
2014000041761,6,7309,24,0,0,0,0,0,1,0,0,0,3,190,24,1
2014000042070,6,7313,12,0,1,0,0,0,0,0,0,0,2,142,12,1
2014000042252,6,7304,24,0,0,0,0,0,1,0,0,0,3,261,24,1
2014000042309,6,7318,14,0,0,0,0,1,0,0,0,0,3,31,14,1
2014000042374,6,7302,25,0,0,1,0,0,0,0,0,0,2,188,25,1
2014000042615,6,7319,13,0,1,0,0,0,0,0,0,0,1,48,13,1
2014000042633,6,7312,27,0,0,0,1,0,0,0,0,0,3,21,27,1
2014000042650,6,7313,11,1,0,0,0,0,0,0,0,0,1,19,11,1
2014000042703,6,7309,19,0,0,0,0,0,1,0,0,0,4,218,19,1
